type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,36726161,47.2261912,8.9803292,Migros,supermarket,Uznach,Zürcherstrasse,25,8730
node,39947904,47.3767316,8.5421608,Coop,supermarket,Zürich,Bahnhofbrücke,1,8001
node,48932835,47.37502,8.522895,Migros,supermarket,Zürich,Wengistrasse,7,8004
node,70656488,47.4918744,8.7064484,Migros,supermarket,Winterthur,Zürcherstrasse,102,8406
node,75749133,47.3409666,8.5306007,ALDI,supermarket,Zürich,Albisstrasse,81,8038
node,79977755,47.3400698,8.5305461,Coop,supermarket,Zürich,Alte Kalchbühlstrasse,15,8038
node,83330862,47.3447487,8.5299814,Migros,supermarket,Zürich,Etzelstrasse,3,8038
node,94635618,47.1820486,7.9825542,ALDI,supermarket,Schötz,Schürmatt,5,6247
node,97995346,47.0947404,9.0745369,Spar,supermarket,Mollis,Bahnhofstrasse,4,8753
node,119249170,47.3752549,8.5361073,Migros,supermarket,Zürich,Löwenstrasse,31-35,8001
node,124140239,47.2414948,8.7183709,ALDI,supermarket,Stäfa,Häldelistrasse,11,8712
node,124140551,47.2406357,8.7239602,Migros,supermarket,Stäfa,Goethestrasse,18,8712
node,124141245,47.241531,8.724530099999999,Coop,supermarket,Stäfa,Kronenstrasse,4-6,8712
node,185627927,47.3871106,8.1771397,Migros,supermarket,Lenzburg,Bachstrasse,15,5600
node,206357901,47.0544427,8.3398988,Migros,supermarket,Luzern,Kreuzbuchstrasse,53,6006
node,220030477,47.501665,8.0324095,Aldi,supermarket,Frick,Hauptstrasse,132,5070
node,243155987,47.520631,7.6937067,Migros,supermarket,Pratteln,Burggartenstrasse,21,4133
node,246533376,47.5189532,8.720071,Migros,supermarket,Winterthur,Schaffhauserstrasse,152,8400
node,246803579,46.7677766,9.0624868,Volg,supermarket,Breil/Brigels,Via Principala,36,7165
node,248973330,47.2036113,9.3503443,Spar,supermarket,Wildhaus,Dorf,3,9658
node,251364444,47.567643,9.1108744,Migros,supermarket,Weinfelden,Amriswilerstrasse,12,8570
node,253909831,47.3773676,9.5378606,Migros,supermarket,Altstätten,Stossstrasse,2,9450
node,262400822,47.3640724,8.5309446,Migros,supermarket,Zürich,Tessinerplatz,10,8002
node,264065177,47.4135249,8.5918701,Migros,supermarket,Wallisellen,Bahnhofstrasse,30,8304
node,264072829,47.4673262,8.293462,VOI Migros Partner,supermarket,Baden,Mellingerstrasse,142,5400
node,265776668,47.376417000000004,8.5595945,Coop,supermarket,Zürich,Zürichbergstrasse,75,8044
node,266571580,47.4821521,8.2094058,Migros,supermarket,Brugg,Neumarkt,1,5200
node,266630559,47.3777162,8.5112192,Coop,supermarket,Zürich,Badenerstrasse,333,8003
node,266644613,47.1688761,7.9926369,Coop,supermarket,Schötz,Luzernerstrasse,27,6247
node,266914642,47.2603539,8.5972571,Migros,supermarket,Horgen,Alte Landstrasse,24,8810
node,267344304,47.3883215,8.4965956,ALDI,supermarket,Zürich,Hohlstrasse,473,8048
node,267345511,47.3858089,8.516573900000001,Coop,supermarket,Zürich,Maagplatz,1,8005
node,267346993,47.3855977,8.5314709,Migros,supermarket,Zürich,Limmatstrasse,152,8005
node,267468996,47.3648716,8.521006,Coop,supermarket,Zürich,Uetlibergstrasse,20,8045
node,268603429,47.36736,8.5461737,Coop,supermarket,Zürich,Theaterstrasse,18,8001
node,269050379,47.3544624,8.7132591,Migros,supermarket,Uster,Winterthurerstrasse,18,8610
node,269616490,46.5104626,6.4978122,Coop,supermarket,Morges,Rue des Fossés,4,1110
node,269616499,46.5098409,6.4944953,Migros,supermarket,Morges,Rue de la Gare,19,1110
node,270692983,47.3579403,8.5546463,Coop,supermarket,Zürich,Seefeldstrasse,123,8008
node,270958272,47.3583667,8.5540739,Migros,supermarket,Zürich,Seefeldstrasse,111-113,8008
node,271028298,47.3656781,8.5480408,Migros,supermarket,Zürich,Falkenstrasse,19-21,8008
node,271028686,47.3667726,8.5480794,Coop,supermarket,Zürich,Stadelhoferstrasse,10,8001
node,271029206,47.3645956,8.5538464,Migros,supermarket,Zürich,Kreuzplatz,20,8032
node,271029581,47.3643,8.5551291,Coop,supermarket,Zürich,Forchstrasse,4,8008
node,273942728,47.3576104,8.5713693,Migros,supermarket,Zürich,Forchstrasse,260,8008
node,274079274,46.5059315,6.6885514,Coop,supermarket,Lutry,Route de l'Ancienne Ciblerie,2,1095
node,274598110,47.4926707,7.5943412,Migros,supermarket,Reinach BL,Herrenweg,11,4153
node,274716412,47.4200323,7.501762,Migros,supermarket,Laufen,Bahnhofstrasse,4,4242
node,274824641,47.3689582,8.5413011,Lidl,supermarket,Zürich,Fraumünsterstrasse,16,8001
