type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,39947904,47.3767316,8.5421608,Coop,supermarket,Zürich,Bahnhofbrücke,1,8001
node,79977755,47.3400698,8.5305461,Coop,supermarket,Zürich,Alte Kalchbühlstrasse,15,8038
node,265776668,47.376417000000004,8.5595945,Coop,supermarket,Zürich,Zürichbergstrasse,75,8044
node,266630559,47.3777162,8.5112192,Coop,supermarket,Zürich,Badenerstrasse,333,8003
node,267345511,47.3858089,8.516573900000001,Coop,supermarket,Zürich,Maagplatz,1,8005
node,267468996,47.3648716,8.521006,Coop,supermarket,Zürich,Uetlibergstrasse,20,8045
node,268603429,47.36736,8.5461737,Coop,supermarket,Zürich,Theaterstrasse,18,8001
node,270692983,47.3579403,8.5546463,Coop,supermarket,Zürich,Seefeldstrasse,123,8008
node,271028686,47.3667726,8.5480794,Coop,supermarket,Zürich,Stadelhoferstrasse,10,8001
node,271029581,47.3643,8.5551291,Coop,supermarket,Zürich,Forchstrasse,4,8008
node,276363821,47.4188884,8.5056989,Coop,supermarket,Zürich,Wehntalerstrasse,549,8046
node,283103824,47.3936485,8.529543499999999,Coop,supermarket,Zürich,Scheffelstrasse,12,8037
node,283126967,47.392539,8.5245566,Coop,supermarket,Zürich,Röschibachstrasse,22,8037
node,313026968,47.3758009,8.5174447,Coop,supermarket,Zürich,Badenerstrasse,244,8004
node,321361788,47.395724799999996,8.5404707,Coop,supermarket,Zürich,Milchbuckstrasse,1-5,8057
node,470217716,47.3847889,8.527125,Coop,supermarket,Zürich,Röntgenstrasse,48,8005
node,514589840,46.9592975,7.4551531,Coop,supermarket,Bern,Stauffacherstrasse,2,3014
node,534632457,46.9374546,7.4760187,Coop,supermarket,Bern,Weltpoststrasse,20,3015
node,614828024,47.4034212,8.5893605,Coop,supermarket,Zürich,Hirzenbachstrasse,40,8051
node,651273252,47.3732882,8.5305624,Coop,supermarket,Zürich,Badenerstrasse,15,8004
node,659862626,47.3758956,8.4870255,Coop,supermarket,Zürich,Albisriederstrasse,334,8047
node,707688653,47.5690946,7.5796433,Coop,supermarket,Basel,Elsässerstrasse,36,4056
node,766705800,47.4134214,8.5405759,Coop,supermarket,Zürich,Sophie-Taeuber-Strasse,4,8050
node,1027136881,47.4256283,8.4969763,Coop,supermarket,Zürich,Mühlackerstrasse,199,8046
node,1322305936,47.5452203,7.5887101999999995,Coop,supermarket,Basel,Güterstrasse,125,4053
node,1513116290,47.5690817,7.5905738,Coop,supermarket,Basel,Klybeckstrasse,142,4057
node,1598176926,47.5431222,7.5932694,Coop,supermarket,Basel,Güterstrasse,190,4053
node,1598954903,47.55521,7.6138463,Coop,supermarket,Basel,Farnsburgerstrasse,37,4052
node,1756956245,47.3702516,8.5371556,Coop,supermarket,Zürich,Bärengasse,16,8001
node,1925758931,47.3707927,8.5158561,Coop,supermarket,Zürich,Birmensdorferstrasse,200,8003
node,2264702137,47.3874101,8.4889206,Coop,supermarket,Zürich,Badenerstrasse,650,8048
node,2323174782,47.3777313,8.5347195,Coop,supermarket,Zürich,Europaallee,5,8004
node,2663868342,47.5705925,7.5733682,Coop,supermarket,Basel,Vogesenplatz,10,4056
node,2984223833,47.3862472,8.4994783,Coop,supermarket,Zürich,Baslerstrasse,50,8048
node,3339748067,46.9435008,7.4060311,Coop,supermarket,Bern,Europaplatz,1,3008
node,3653968759,47.3911135,8.5081865,Coop,supermarket,Zürich,Pfingstweidstrasse,106,8005
node,4039021088,46.9489976,7.4375343,Coop,supermarket,Bern,Bahnhofplatz,10,3011
node,4069816589,46.945398,7.4268297,Coop,supermarket,Bern,Brunnmattstrasse,20,3007
node,4328291097,47.3471862,8.5330722,Coop,supermarket,Zürich,Seestrasse,339,8038
node,4342407034,47.5651143,7.6178221,Coop,supermarket,Basel,Bäumlihofstrasse,132/134,4058
node,4424679510,47.3778252,8.538369,Coop,supermarket,Zürich,,,8001
node,4437700046,47.5556543,7.5907408,Coop,supermarket,Basel,Freie Strasse,75,4001
node,4466482789,47.3806921,8.5348898,Coop,supermarket,Zürich,Zollstrasse,42,8005
node,4848816876,47.3729278,8.537713,Coop,supermarket,Zürich,Bahnhofstrasse,57,8001
node,4896104281,47.3574739,8.5230643,Coop,supermarket,Zürich,Kalanderplatz,1,8045
node,4896104282,47.3898336,8.471856,Coop,supermarket,Zürich,Am Suteracher,14,8048
node,4896104283,47.4104766,8.5467405,Coop,supermarket,Zürich,Wallisellenstrasse,1,8050
node,6011935004,47.4128725,8.5470117,Coop,supermarket,Zürich,Andreasstrasse,5,8050
node,8098492384,47.561065,7.5913921,Coop,supermarket,Basel,Greifengasse,3,4058
node,8098492385,47.5769624,7.5911385,Coop,supermarket,Basel,Inselstrasse,76,4057
node,8541239873,47.3874546,8.5173402,Coop,supermarket,Zürich,Maschinenstrasse,10,8005
node,10711459945,47.3699617,8.5091748,Coop,supermarket,Zürich,Birmensdorferstrasse,310,8055
